condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V2, D1)",CD1D,381.65131012151,0.382715502858559,0.069571307892865,5.50105373105698,3.77528127928602e-8,5.33243924556031e-7,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RELB,530.596517570673,0.406700109296726,0.0670899163016839,6.06201545203774,1.34426296223125e-9,2.52280694944645e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SLC2A13,89.348024784109,0.244580596401865,0.0531622027722856,4.60064827353936,4.21178089851936e-6,3.71753798968771e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",XRCC4,165.734070808872,0.370436412819119,0.0510694451515094,7.25358209238681,4.05891180102254e-13,1.3566838627184199e-11,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ECE1,3518.94028356169,0.260935210594677,0.0795853760674301,3.27868288733843,0.00104292760161334,0.00466811379453875,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",LILRB2,3268.42809749518,0.39991199654671,0.0670468695330362,5.96466321741777,2.4513912294064504e-9,4.39522737576273e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TIFA,391.550078152133,1.35557597487508,0.124023354935268,10.9300056879013,8.28432311467658e-28,1.0197734517937399e-25,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RELB,530.596517570673,0.406700109296726,0.0670899163016839,6.06201545203774,1.34426296223125e-9,2.52280694944645e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPR68,84.8545032531728,-0.497156708135657,0.10093726918466,-4.92540279870393,8.41867519823168e-7,8.80155193327455e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",MIR3194,4.04582882201533,-0.54982092913203,0.194644035403155,-2.82475097679319,0.00473173748868199,0.0169436755615988,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
