"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"75","LVS F TULARENSIS (H18)","FLUMIST (D30)",0,78,15,78,15,"",0,0,1.28015423448512e-17,16.8927377028908
"76","LVS F TULARENSIS (H18)","FLUENZ (D6-7)",0,78,9,78,9,"",0,0,1.94963393418534e-12,11.7100469246824
"77","LVS F TULARENSIS (H18)","MENACTRA (D3)",3,75,43,78,48,"CARD9, CCL20, TLR4",3.85,6.25,1.28306857723322e-29,28.8917501309064
"78","LVS F TULARENSIS (H18)","MENACTRA (D7)",1,77,13,78,14,"HSP90B1",1.28,7.14,7.30199975350313e-15,14.136558186047
"79","LVS F TULARENSIS (H18)","WETVAX (D2-4)",4,74,97,78,101,"FCGR3A, ICAM1, FCGR1A, FCGR2B",5.13,3.96,3.95534598818169e-45,44.4028155212217
"80","LVS F TULARENSIS (H18)","WETVAX (D5-7)",18,60,456,78,520,"CCR7, FCGR3A, ICAM1, TAP2, CCR1, CD1C, CD74, FAS, FCGR1A, FCGR2B, HLA-DQB1, HLA-DRB1, MYD88, RBMS1, TAP1, TLR1, TLR2, TLR8",23.08,3.46,1.2341511712133e-63,62.9086316403006
"81","LVS F TULARENSIS (H18)","WETVAX (D50-60)",5,73,308,78,314,"CCR2, CD1C, ICAM2, TLR5, TLR8",6.41,1.59,2.06778323335556e-73,72.6844949904774
"82","LVS F TULARENSIS (H18)","MVA85A (D2)",7,71,60,78,67,"ICAM1, PYCARD, CD68, FCGR1A, TLR1, TLR6, TLR8",8.97,10.45,1.18457332102522e-31,30.9264380527705
"83","LVS F TULARENSIS (H18)","ZOSTAVAX (D1)",0,78,14,78,14,"",0,0,7.93695625380775e-17,16.1003460133925
"84","LVS F TULARENSIS (H18)","ZOSTAVAX (D3)",0,78,7,78,7,"",0,0,2.02599459660757e-10,9.69336171725148
