"process","genes","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size"
"ACTIVATED T CELL PROLIFERATION","ABL1","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","STAT5B","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","IL2","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","FYN","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","IL2RA","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","BTN3A1","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","GPAM","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATION OF IMMUNE RESPONSE","HMSD","Activation, Immune response","General","Immune","Undefined","GO:0002253",1
"ACTIVATION OF IMMUNE RESPONSE","TREX1","Activation, Immune response","General","Immune","Undefined","GO:0002253",1
"ACTIVATION OF INNATE IMMUNE RESPONSE","STING1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","MAVS","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","NLRP10","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","XRCC5","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","MNDA","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","CGAS","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","TLR4","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","CASP6","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","XRCC6","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","SFPQ","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","PYHIN1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","MATR3","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","HEXIM1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","GBP2","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","PRKDC","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","HMGB1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","HSP90AA1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","IFI16","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","NONO","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","AIM2","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","TOMM70","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","PQBP1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","RBM14","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","SIN3A","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","PYCARD","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","TBK1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","PSPC1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","ZNFX1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","NLRC4","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","ZBP1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","TRIM5","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","ZCCHC3","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","FAS","Cell death, Activation-induced, T cell","Adaptive","Cellular","T cell","GO:0006924",3
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","RPS6","Cell death, Activation-induced, T cell","Adaptive","Cellular","T cell","GO:0006924",3
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","AKT1","Cell death, Activation-induced, T cell","Adaptive","Cellular","T cell","GO:0006924",3
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","IL2RA","Cell death, Activation-induced, T cell","Adaptive","Cellular","T cell","GO:0006924",3
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","DNAJA3","Cell death, Activation-induced, T cell","Adaptive","Cellular","T cell","GO:0006924",3
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","GPAM","Cell death, Activation-induced, T cell","Adaptive","Cellular","T cell","GO:0006924",3
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","NLRP6","Acute inflammatory response to antigenic stimulus","Innate","Inflammation","Undefined","GO:0002438",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","ELANE","Acute inflammatory response to antigenic stimulus","Innate","Inflammation","Undefined","GO:0002438",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","IL31RA","Acute inflammatory response to antigenic stimulus","Innate","Inflammation","Undefined","GO:0002438",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","CD6","Acute inflammatory response to antigenic stimulus","Innate","Inflammation","Undefined","GO:0002438",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","CXCR2","Acute inflammatory response to antigenic stimulus","Innate","Inflammation","Undefined","GO:0002438",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","A2M","Acute inflammatory response to antigenic stimulus","Innate","Inflammation","Undefined","GO:0002438",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","OPRM1","Acute inflammatory response to antigenic stimulus","Innate","Inflammation","Undefined","GO:0002438",5
"ADAPTIVE IMMUNE RESPONSE","TAP2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DOB","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","FBXO38","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","P0DOX7","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","MYO1G","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","BTN3A2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-E","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD19","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","OTUD7B","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-C","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CLEC6A","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD1B","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","LILRB2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","RAG1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","JAK3","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","EOMES","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","THEMIS","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DMB","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD1C","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","NLRP10","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","P0DOX6","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","LAG3","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DRB3","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","P0DOX8","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","SYK","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CTSS","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","RAPGEF3","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CSK","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD247","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","ITK","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CX3CR1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","LILRA6","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","BCL10","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","BTLA","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","LILRB4","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","VTCN1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","KLRC1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","TEC","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","KLRC2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","RAP1GAP2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","ZNF683","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","TAP1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","C17orf99","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD3G","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD8B","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","LAIR1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","RAP1GAP","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD7","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","ARG2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","ZAP70","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD160","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CTSH","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","ERAP2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","BTK","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","MCOLN2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","LILRA3","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","GPR183","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","RNF19B","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD1E","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","P0DOX5","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","BTNL8","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD6","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DRB4","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA8","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CTLA4","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","LILRB1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","BMX","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD46","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IL2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","TXK","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","P0DOX2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HMGB1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","LAX1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD79B","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD8B2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CLEC10A","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD86","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","TFEB","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","C1QBP","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DPA1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","TARM1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","P0DOX4","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HMHB1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD81","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DMA","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CRTAM","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","SKAP1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","PIK3CG","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","KLRK1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","P0DOX3","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","FGL1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","TFE3","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD79A","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","TNFRSF17","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","ALCAM","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","ANXA1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","ARG1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","PRDM1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CAMK4","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD1A","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD3D","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD3E","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD4","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CD8A","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","CTSL","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","ADGRE1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","PTK2B","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","FCGR1BP","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","FGA","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","FGB","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","FYN","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-B","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DOA","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DPB1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DQA1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DQA2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DQB1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DQB2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DRA","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DRB5","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA4","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA5","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA6","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA7","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA10","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA13","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA14","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA16","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA17","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNA21","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNB1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNG","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IFNW1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGHA1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGHA2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGHD","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGHE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGHG1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGHG2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGHG3","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGHG4","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGHM","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","JCHAIN","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGKC","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGLC1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGLC3","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IGLC6","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","IL17A","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","JAK2","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","KLRD1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","LYN","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","SH2D1A","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","MICB","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","PDCD1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","PIK3CD","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","PRKCB","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","SIPA1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","SLAMF1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","TRAV6","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
"ADAPTIVE IMMUNE RESPONSE","TRGC1","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330
