"process","genes","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size"
"THYMUS DEVELOPMENT","FADD","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","MAFB","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","BCL2L11","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","ZMPSTE24","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","CITED2","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","RIPK3","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","ZBTB1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","SIX4","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","SLC46A2","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","BCL11B","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","CTC1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"TIRAP-DEPENDENT TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","TIRAP","PRR, TIRAP dep, TLR4","Innate","PRR","All","GO:0035665",1
"TOLERANCE INDUCTION","LILRB4","Tolerance, Induction","Adaptive","Tolerance","Undefined","GO:0002507",1
"TOLERANCE INDUCTION","CCR4","Tolerance, Induction","Adaptive","Tolerance","Undefined","GO:0002507",1
"TOLERANCE INDUCTION DEPENDENT UPON IMMUNE RESPONSE","PSG9","Tolerance, Induction, immune response","Adaptive","Tolerance","Undefined","GO:0002461",1
"TOLERANCE INDUCTION TO LIPOPOLYSACCHARIDE","TNFAIP3","Tolerance, Induction, LPS","Adaptive","Tolerance","Undefined","GO:0072573",2
"TOLERANCE INDUCTION TO LIPOPOLYSACCHARIDE","ACOD1","Tolerance, Induction, LPS","Adaptive","Tolerance","Undefined","GO:0072573",2
"TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY","PIK3AP1","PRR, TLR2, Pathway","Innate","PRR","All","GO:0034134",2
"TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY","TNIP2","PRR, TLR2, Pathway","Innate","PRR","All","GO:0034134",2
"TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY","IRAK1","PRR, TLR2, Pathway","Innate","PRR","All","GO:0034134",2
"TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY","RIPK2","PRR, TLR2, Pathway","Innate","PRR","All","GO:0034134",2
"TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY","NOD2","PRR, TLR2, Pathway","Innate","PRR","All","GO:0034134",2
"TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","TNIP2","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138",3
"TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","SCIMP","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138",3
"TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","TICAM1","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138",3
"TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","OAS1","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138",3
"TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","TNF","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138",3
"TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","RFTN1","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138",3
"TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","COLEC12","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138",3
"TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","UNC93B1","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138",3
"TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","HAVCR2","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138",3
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","TLR4","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","CD14","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","NAGLU","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","PIK3AP1","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","NFKBIA","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","SCIMP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","TIRAP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","RELA","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","IRAK1","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","LYN","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","OAS1","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","RIPK2","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","NMI","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","TRIL","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","NR1H4","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","LY96","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","S100A14","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","TNIP3","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","TMEM126A","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142",9
"TOLL-LIKE RECEPTOR 7 SIGNALING PATHWAY","PIK3AP1","PRR, TLR7, Pathway","Innate","PRR","All","GO:0034154",2
"TOLL-LIKE RECEPTOR 7 SIGNALING PATHWAY","SCIMP","PRR, TLR7, Pathway","Innate","PRR","All","GO:0034154",2
"TOLL-LIKE RECEPTOR 7 SIGNALING PATHWAY","TLR7","PRR, TLR7, Pathway","Innate","PRR","All","GO:0034154",2
"TOLL-LIKE RECEPTOR 7 SIGNALING PATHWAY","UNC93B1","PRR, TLR7, Pathway","Innate","PRR","All","GO:0034154",2
"TOLL-LIKE RECEPTOR 7 SIGNALING PATHWAY","HAVCR2","PRR, TLR7, Pathway","Innate","PRR","All","GO:0034154",2
"TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","TNIP2","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162",2
"TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","PIK3AP1","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162",2
"TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","IRAK1","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162",2
"TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","NR1H4","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162",2
