Cond1,Cond2,Shared,Total_Genes_Cond1,Percentage_Shared_Cond1,pvalue,-log(p)
"I (D10, moderate)","I (D26, moderate)",1502,3139,47.85,2.1267689999202035e-149,148.6722796786483
"I (D10, moderate)","I (D26, severe)",1922,3139,61.23,1.26972e-318,317.89629235907364
"I (D10, moderate)","I (D51, moderate)",25,3139,0.8,1.0839240403490666e-50,49.965001151389075
"I (D10, moderate)","I (D51, severe)",1032,3139,32.88,0,Inf
"I (D10, moderate)",I-BNT-I (D2),2,3139,0.06,1.9361878263902088e-9,8.713052514792029
"I (D10, moderate)","ZF2001 (V3, D07)",286,3139,9.11,0,Inf
"I (D10, moderate)","ZF2001 (V3, D14)",39,3139,1.24,8.86720427623225e-309,308.0522132864582
"I (D10, moderate)","ZF2001 (V3, D28)",11,3139,0.35,4.485938549488036e-58,57.34814667988391
"I (D10, severe)","BBIBP (V3, D14)",7,44,15.91,9.784504525828866e-84,83.0094611615386
"I (D10, severe)","BBIBP (V3, D28)",4,16,25,3.835545335091344e-32,31.416172879646272
"I (D10, severe)","BNT (V2, D1)",79,694,11.38,0,Inf
"I (D10, severe)","BNT (V3, D1)",98,708,13.84,0,Inf
"I (D10, severe)",BNT-I (D1),486,1101,44.14,0,Inf
"I (D10, severe)","BNT-I (D10, mild)",2148,4448,48.29,0,Inf
"I (D10, severe)","BNT-I (D10, severe)",2604,4635,56.18,5.085632786947e-311,310.29365500168296
"I (D10, severe)","BNT-I (D26, mild)",1584,2593,61.09,0,Inf
"I (D10, severe)","BNT-I (D26, severe)",468,593,78.92,1.3784151487332297e-112,111.86061996265296
"I (D10, severe)",BNT-I (D3),422,664,63.55,6.137220027072181e-217,216.21202830643247
"I (D10, severe)",BNT-I (D4),58,150,38.67,3.966352548298809e-149,148.40160868625375
"I (D10, severe)","BNT-I-BNT (D51, mild)",188,363,51.79,1.1821529512997388e-208,207.9273263292009
"I (D10, severe)","BNT-I-BNT (D51, severe)",36,113,31.86,2.041129060243388e-136,135.6901295340495
"I (D10, severe)","BNT-MO (V3, D1)",183,1254,14.59,0,Inf
"I (D10, severe)","ChAd (V1, D3)",175,903,19.38,0,Inf
"I (D10, severe)","ChAd (V1, D6)",15,302,4.97,3.779945615493197e-260,259.42251444859164
"I (D10, severe)","ChAd (V1, D7)",51,337,15.13,2.661265e-317,316.5749119040048
"I (D10, severe)","ChAd (V2, D1)",102,916,11.14,0,Inf
