condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V2, D1)",HPS6,228.772807565315,-0.166912212495959,0.0589268991545013,-2.8325300480911,0.00461812255393766,0.016627937212291,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DAPK1,797.052767270563,0.245109312859244,0.0904453116325258,2.7100278437329,0.00672775600632217,0.022716222020462,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DAPK1,797.052767270563,0.245109312859244,0.0904453116325258,2.7100278437329,0.00672775600632217,0.022716222020462,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DAPK1,797.052767270563,0.245109312859244,0.0904453116325258,2.7100278437329,0.00672775600632217,0.022716222020462,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",MIR6818,4.74565372934933,0.835519771606427,0.20971326858574,3.98410542757255,6.77347986027978e-5,4.3600111015171e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",MIR6823,0.807012158271452,1.09669717434296,0.417419042064761,2.62732904785119,0.00860580713747365,0.0279249660175165,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TAOK3,2433.50868868319,0.135499958919399,0.0360880381398311,3.75470560063071,1.7354533989771e-4,9.8720350367652e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ERV3-1,756.29791226424,0.33101467206175,0.0914989423616973,3.61768850565771,2.9724582905999e-4,0.00157832571942432,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RHBDD2,386.264224368358,-0.146946965372629,0.0435104801984501,-3.37727749044386,7.3207156055137e-4,0.0034460342208849,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",NOPCHAP1,147.64977479814,-0.172895869703495,0.0523271434824272,-3.30413353753121,9.5270440380589e-4,0.00432456780918712,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",HRAS,57.8541594093987,-0.17422394771521,0.058672005134896,-2.96945617104175,0.00298327366374337,0.0115438623973413,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TAP1,4221.66405134513,1.39136575716756,0.102826232873867,13.5312334049454,1.02292800135558e-41,3.96965415576905e-39,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
