condition,geneset_name,process,gene_ratio,bg_ratio,pvalue,p_adjust,qvalue,gene_id,count
"BNT (V2, D1)",VAX SigDB filtered,"STAMARIL (D3, UNK YO)",88/198,323/6611,1.8724196744899982e-65,1.747591696190665e-64,5.9129042352315746e-65,IFIT1/IFIT3/OAS2/MT2A/ZBP1/SORT1/TIMM10/SP140/MX1/SPATS2L/MARCO/HELZ2/AIM2/HERC6/HES4/TMEM268/BST2/STAT1/STAT2/IRF9/CTSL/DDX60/IFITM3/EPSTI1/CYBB/TAP1/TAP2/RTP4/NUB1/IFI16/IFI27/TCN2/IFI35/IFI44/IFI44L/SERPING1/IFI6/IFIH1/IFIT2/SAMD4A/IFIT5/SAMD9L/DHX58/ORM1/TRIM21/RHBDF2/OTOF/EIF2AK2/TRIM5/RIGI/MYOF/LGALS3BP/PARP9/ISG15/PARP12/C1QA/C1QB/DHRS9/OASL/EPB41L3/TYMP/SCO2/UBE2L6/LY6E/LAP3/FBXO6/RSAD2/SMCO4/TDRD7/XAF1/GBP1/OAS1/TRIM22/PSME2/TNFSF10/TNFSF13B/OAS3/TLR7/SEPTIN4/PARP14/TRAFD1/WARS1/PLSCR1/CEACAM1/MOV10/IRF7/LHFPL2/HERC5,88
"BNT (V2, D1)",VAX SigDB filtered,"HIV-1 GAG-POL NEF (D3, 20-50 YO)",63/198,142/6611,6.2126227016658834e-61,4.348835891166118e-60,1.4714106398682356e-60,IFIT1/IFIT3/OAS2/TFEC/ZBP1/CMPK2/SECTM1/MX1/AIM2/HERC6/STAT1/IRF9/CTSL/DDX60/CXCL10/IFITM3/EPSTI1/TAP1/KCNJ2/IFI16/IFI27/IFI44/IFI44L/SERPING1/IFI6/IFIH1/IFIT2/SAMD9L/DHX58/TRIM21/EIF2AK2/TRIM5/RIGI/MYOF/LGALS3BP/PARP9/CASP5/PARP12/C1QB/OASL/GCH1/PML/UBE2L6/SIGLEC1/LY6E/LAP3/RSAD2/TDRD7/XAF1/GBP1/OAS1/SAMD9/TRIM22/P2RX7/TNFSF10/TNFSF13B/OAS3/WARS1/NMI/PLSCR1/MOV10/USP18/HERC5,63
"BNT (V2, D1)",VAX SigDB filtered,"YF17D (D3, 18-45 YO)",37/198,46/6611,1.1438147738006536e-49,6.40536273328366e-49,2.1672279924643967e-49,IFIT1/IFIT3/OAS2/MX1/STAT1/DDX60/CXCL10/DDX60L/IFI27/IFI44/IFI44L/SERPING1/IFI6/IFIH1/IFIT2/SAMD9L/DHX58/EIF2AK2/TRIM5/RIGI/MYOF/LGALS3BP/PARP9/ISG15/PARP12/OASL/RSAD2/XAF1/OAS1/SAMD9/TRIM22/LAMP3/OAS3/TLR7/PLSCR1/IRF7/HERC5,37
"BNT (V2, D1)",VAX SigDB filtered,"WETVAX (D5-7, 18-32 YO)",69/198,473/6611,4.696634861811445e-31,2.191762935512008e-30,7.415739255491756e-31,IFIT1/IFIT3/OAS2/TFEC/FAS/SORT1/MX1/MARCO/AIM2/STAT1/STAT2/IRF1/ANKRD22/IRF9/CTSL/CXCL10/CXCL9/GBP2/APOL1/IFITM3/CYBB/TAP1/TAP2/IDO1/ATF3/IFI27/IFI35/IFI44/IFI44L/SERPING1/IFI6/IFIT2/IFIT5/TRIM21/RIPK2/FCGR1A/LGALS3BP/C2/ETV7/ISG15/SLAMF8/CASP5/C1QA/C1QB/DHRS9/EPB41L3/GCH1/UBE2L6/LY6E/LAP3/RSAD2/XAF1/GBP1/OAS1/TRIM22/PSME2/TNFSF10/SEPTIN4/TRAFD1/DTX3L/GK/WARS1/PLSCR1/WDFY1/IRF7/HUNK/LHFPL2/USP18/HERC5,69
"BNT (V2, D1)",VAX SigDB filtered,"MVA85A (D2, 18-55 YO)",30/198,67/6611,8.163417979858105e-29,3.265367191943242e-28,1.104823485995834e-28,IFIT1/IFIT3/MX1/MARCO/BST2/STAT1/IRF9/CTSL/CXCL10/IFITM3/IFI27/IFI35/IFI44/IFI44L/SERPING1/IFI6/IFIH1/IFIT2/CCL2/EIF2AK2/CCL8/FCGR1A/PARP9/ISG15/FCGR1BP/TYMP/RSAD2/CARD16/XAF1/TNFSF10,30
"BNT (V2, D1)",VAX SigDB filtered,"PANDEMRIX (D7, 18-64 YO)",21/198,33/6611,9.023186494685499e-25,3.1581152731399246e-24,1.068535242791704e-24,IFIT1/IFIT3/OAS2/MX1/CXCL10/CXCL9/GBP2/IDO1/IFI27/IFI35/IFI44/SERPING1/IFIT2/OASL/GBP1/OAS1/TRIM22/GBP5/OAS3/WARS1/GBP4,21
"BNT (V2, D1)",VAX SigDB filtered,"WETVAX (D2-4, 18-32 YO)",21/198,101/6611,1.113040839408704e-12,3.462793722604857e-12,1.1716219362196887e-12,IFIT1/IFIT3/MX1/STAT1/IRF1/ANKRD22/CXCL10/GBP2/ATF3/IFI44/IFI44L/SERPING1/FCGR1A/C2/GCH1/UBE2L6/LAP3/RSAD2/WARS1/CEACAM1/HERC5,21
"BNT (V2, D1)",VAX SigDB filtered,"RVSV ZEBOV (D7, 18-45 YO)",8/198,10/6611,2.407286565622813e-11,6.740402383743876e-11,2.2805872726952968e-11,IFIT1/CXCL10/CCL2/ISG15/RSAD2/LAMP3/USP18/HERC5,8
"BNT (V2, D1)",VAX SigDB filtered,"STAMARIL (D60, UNK YO)",14/198,84/6611,1.481159227608434e-7,3.770223488457832e-7,1.2756395261699434e-7,SORT1/TMEM268/STAT2/ANKRD22/CYBB/TAP1/NUB1/DHX58/MYOF/EPB41L3/SMCO4/TLR7/WARS1/LHFPL2,14
"BNT (V2, D1)",VAX SigDB filtered,"PANDEMRIX (D1, 18-64 YO)",6/198,21/6611,2.493366009276559e-5,5.817854021645305e-5,1.9684468494288624e-5,STAT1/IRF1/IRF9/TAP1/TLR7/IRF7,6
"BNT (V2, D1)",VAX SigDB filtered,"MENACTRA (D3, 18-45 YO)",7/198,46/6611,3.8596477757387837e-4,8.313087516975842e-4,2.812698783939195e-4,ITGB4/CFB/SERPING1/C2/C1QA/C1QB/C1QC,7
"BNT (V2, D1)",VAX SigDB filtered,"STAMARIL (D28, UNK YO)",5/198,40/6611,0.006429536497945797,0.012859072995891594,0.004350814171542269,MX1/IRF9/EPSTI1/OASL/LY6E,5
"BNT (V2, D1)",VAX SigDB filtered,"LVS F TULARENSIS (H18, 22-54 YO)",7/198,78/6611,0.00851927319115535,0.01325220274179721,0.004483827995344921,FAS/TAP1/TAP2/FCGR1A/CARD10/LAMP3/TLR7,7
"BNT (V2, D1)",VAX SigDB filtered,"LVS F TULARENSIS (H192, 22-54 YO)",7/198,78/6611,0.00851927319115535,0.01325220274179721,0.004483827995344921,FAS/TAP1/TAP2/FCGR1A/CARD10/LAMP3/TLR7,7
"BNT (V2, D1)",VAX SigDB filtered,"LVS F TULARENSIS (H336, 22-54 YO)",7/198,78/6611,0.00851927319115535,0.01325220274179721,0.004483827995344921,FAS/TAP1/TAP2/FCGR1A/CARD10/LAMP3/TLR7,7
"BNT (V2, D1)",VAX SigDB filtered,"LVS F TULARENSIS (H48, 22-54 YO)",7/198,78/6611,0.00851927319115535,0.01325220274179721,0.004483827995344921,FAS/TAP1/TAP2/FCGR1A/CARD10/LAMP3/TLR7,7
"BNT (V2, D1)",VAX SigDB filtered,"WETVAX (D5-7, 18-40 YO)",5/198,45/6611,0.01058606055506125,0.01560051029166921,0.005278368143797853,SORT1/IRF1/APOL1/C1QB/IRF7,5
