"","process_1","process_2","shared_genes","genes"
"26","IMMUNOGLOBULIN MEDIATED RESPONSE","HUMORAL ADAPTIVE IMMUNE SYSTEM",155,"TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,CD19,TLR4,ABL1,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,CTLA4,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFKB1,TNFAIP3,LIMK1,VAV2,SRC,VAV1,PRKCE,MYO1G,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,BCL3,ZP3,CD81,IRF2BP2,SYVN1,WNT4,CLEC4G,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB,LIG4,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,LFNG,NOTCH2,C17orf99,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,GATA3,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
"27","ARPP","INNATE IMMUNE SYSTEM",131,"MBL2,LBP,CD14,MAVS,RIGI,CGAS,STING1,CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5,F2R,ALOX5,CDC42,EPS8,DOCK8,NLRP12,TGFBR2,ITGB8,ITGB6,IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2,TICAM1,IFI35,IL33,PRKCE,SYK,PLCG2,SFTPD,CCL2,LGALS3,AZU1,EDNRB,RPL13A,CXCL17,SAA1,CCL3,MMP2,LIPA,CSF1,ROR2,MCOLN2,BCR,B4GALT1,HYAL2,MT1G,SPACA3,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL18,CCL1,CCL7,CTSG,XCL1,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCL20,RPS19,CCL8,S100A12,JAML,SIRPA,PECAM1,MPL,REG3G,HSPD1,TIRAP,BTK,HLA-DRB3,ARHGEF5,SPI1,BATF2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,NFKBIA,XIAP,LACC1,IRGM,RELA,MAP2K6,TNFAIP3,CASP1,LAG3,ZBTB46,IRF8,HCK,RNF135,PHB1,LSM14A,KLRC1,EP300,CLEC6A,KLRC2,KLRC3,SRC,KLRK1,PIK3AP1,TNIP2,SCIMP,NAGLU,AP3B1,FOSL1,RPS6KA3,MAPKAPK2,BCL10,CTSS,TICAM2,RAB11FIP2,CD40"
"28","INNATE IMMUNE SYSTEM","ARPP",131,"STING1,MAVS,CGAS,TLR4,HMGB1,CXCR2,CLEC6A,PLCG2,BCL10,HLA-DRB3,RELB,AP3B1,CTSS,SLC11A1,RNF135,PHB1,RIGI,MBL2,PSEN1,MPL,LBP,CD14,CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,CX3CL1,XCL1,IRF8,CDC42,RPL13A,CCL20,CCL24,CASP1,SIRPA,CCL7,CCL23,CCR2,CCR1,CXCR4,CXCR1,CCR7,GPR183,PIK3CG,F2R,ALOX5,EPS8,DOCK8,NLRP12,LGALS3,BTK,NOTCH2,RBPJ,IRGM,IFI35,SFTPD,CSF1,KLRC2,KLRK1,KLRC1,TICAM1,S100A12,SYK,HCK,LACC1,TICAM2,SRC,TIRAP,MCOLN2,RELA,TGFBR2,ITGB8,ITGB6,IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,ADGRF5,EDN2,IL33,PRKCE,AZU1,EDNRB,CXCL17,SAA1,MMP2,LIPA,ROR2,BCR,B4GALT1,NAGLU,HYAL2,MT1G,SPACA3,P0DOX3,IL6R,CTSG,FLT1,RPS19,JAML,PECAM1,REG3G,HSPD1,ARHGEF5,SPI1,BATF2,LTBR,LAG3,NFKBIA,XIAP,MAP2K6,TNFAIP3,ZBTB46,CD40,LSM14A,EP300,KLRC3,PIK3AP1,TNIP2,SCIMP,FOSL1,RPS6KA3,MAPKAPK2,RAB11FIP2"
"29","CELLULAR ADAPTIVE IMMUNE SYSTEM","GENERAL",128,"IL2,FAS,CD247,CD3G,ZAP70,CLEC4G,SYK,CD81,CD83,PRKCQ,CD28,FUT7,IL2RG,HLA-E,IRF1,TNFSF8,EOMES,BCL2,KLRC1,CCR7,CRTAM,MYH9,IL15,ITK,JAML,TCF7,CCL2,CD6,MSN,PRF1,TNFSF4,ITGAM,IL13,C5AR1,CX3CL1,CLU,AZU1,CX3CR1,BAX,HAMP,THEMIS,SPN,CD86,WAS,CORO1A,SMAD3,LAG3,PIK3CG,TNFAIP8L2,CD7,VAV1,CD80,CD8B,IFNE,MDK,F2RL1,IFNA8,CD1C,CXCL12,CCL3,DEFA4,GPR183,DEFA1,SRC,MAP3K8,KLRK1,CD160,CSK,CD40LG,GATA3,LEP,IL7R,PIK3R1,RAG1,PRKDC,B2M,FCER1G,SPNS2,JAK3,RC3H1,PRDX2,IL7,MYO1G,GZMM,CTSH,TAP2,CTSC,CD46,CR2,BTN3A2,CD70,CR1,S1PR1,CCL20,ITGB7,PSMB10,CTPS1,TNFRSF4,IDO1,LILRB1,SLC11A1,SKAP1,THEMIS2,BTK,PDE4B,TXK,VTCN1,CTLA4,BTNL8,BCL10,TEC,ZNF683,BCAR1,HLA-DRB3,CD1D,HMGB1,CEBPB,IL4R,TLR4,BCL3,CCR2,RORC,IL6R,NOTCH1,BCL6,PTGER4,ASXL1,IL10"
"30","GENERAL","CELLULAR ADAPTIVE IMMUNE SYSTEM",128,"HLA-E,DEFA4,B2M,DEFA1,BCAR1,CXCL12,CCL20,HAMP,BCL3,SLC11A1,AZU1,ASXL1,IL6R,IFNA8,CCR2,IL7,GATA3,IFNE,CD83,CD28,BCL2,PSMB10,CCL2,GPR183,NOTCH1,RAG1,VAV1,IL2RG,CD1C,CCR7,CX3CR1,IL10,CD1D,TNFSF8,CR2,TCF7,TNFSF4,IL15,WAS,IL13,PIK3R1,ZAP70,PIK3CG,HLA-DRB3,IL7R,SPN,TLR4,FAS,CTLA4,CD70,SMAD3,CCL3,CD80,C5AR1,CD8B,CTSH,CD7,PTGER4,CX3CL1,CEBPB,IL2,CD40LG,CLEC4G,TNFRSF4,CTSC,IL4R,CD86,ITGB7,PRF1,TXK,GZMM,THEMIS,BTN3A2,MYO1G,PRKDC,CD81,TEC,F2RL1,CTPS1,PRKCQ,TAP2,HMGB1,CSK,ITGAM,CD160,CLU,BCL6,TNFAIP8L2,BTK,KLRC1,CR1,KLRK1,SYK,CD46,IRF1,JAML,ITK,ZNF683,JAK3,CD247,CD3G,THEMIS2,EOMES,SKAP1,FCER1G,VTCN1,SRC,IDO1,CRTAM,BCL10,MAP3K8,LAG3,CD6,LILRB1,BTNL8,PRDX2,S1PR1,CORO1A,MDK,BAX,PDE4B,MYH9,MSN,FUT7,LEP,RORC,RC3H1,SPNS2"
"31","HUMORAL ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM",111,"HLA-E,TAC1,DEFA4,B2M,DEFB1,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,WFDC13,CTSG,DEFA6,WFDC11,H2BC12L,RPL39,WFDC3,PI3,FAU,DEFA5,WFDC9,WFDC10B,CCL20,CXCL1,DEFB131A,CXCL2,HAMP,S100A12,CXCL8,CXCL9,RPS19,REG3G,LGALS3,PF4V1,CCL1,CXCL6,CXCL3,CXCL5,XCL1,CCL8,F2,CCL18,PRTN3,SLC11A1,AZU1,TICAM1,CD40,PHB1,RASGRP1,HSPD1,BTK,ZAP70,BST2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,IFNA8,EP300,STAT5B,SYK,CEBPG,JAK3,CR2,KIT,SP3,IL10,RBPJ,FOSL2,IFNE,ADAM17,BAX,NCKAP1L,PRKDC,TLR4,PRKCD,MNDA,ITK,NFKBIA,PTPN6,NFKB1,TNFAIP3,SRC,VAV1,PRKCE,HCK,FGR,FCGR2B,IRF8,SPI1,CCR2,NOTCH2,GATA3,ALOX5,CCL2,TFEB,NOTCH1,MPL,BCL10,FCER1G,PTX3,LBP,C4B,MBL2,HLA-G,LIPA,PBX1,NFKB2,FCER1A"
"32","INNATE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM",111,"MNDA,TLR4,PRKDC,TFEB,PLCG2,BCL10,HLA-E,B2M,HLA-G,FCER1G,FCGR2B,SLC11A1,PHB1,MBL2,MPL,LBP,CCL8,CCL1,CCL18,CCL2,XCL1,IRF8,CCL20,IL10,CCR2,GPR183,ALOX5,LGALS3,FCER1A,BTK,NOTCH1,FOSL2,NOTCH2,RBPJ,RASGRP1,BPI,CAMP,BST2,PTX3,TAC1,DEFB131A,JAK3,FGR,DEFB1,RNASE3,C4B,TICAM1,S100A12,SYK,GATA3,HCK,DEFA5,WFDC3,WFDC10B,WFDC13,NFKB2,PI3,NFKB1,DEFA4,SRC,DEFA6,ZAP70,WFDC9,CR2,WFDC11,FAU,H2BC12L,DEFA3,H2BC10,DEFA1,RPL39,HAMP,PRKCE,AZU1,LIPA,KIT,STAT5B,CTSG,RPS19,REG3G,HSPD1,NCKAP1L,BAX,SPI1,IFNA8,IFNE,SP3,PBX1,PTPRC,PTPN6,CEBPG,CXCL8,CXCL6,PRKCD,CXCL9,VAV1,CXCL3,CXCL5,PF4V1,CXCL1,CXCL2,PRTN3,ADAM17,F2,ITK,NFKBIA,TNFAIP3,CH25H,CD40,EP300,HDAC4"
"33","CELLULAR ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM",109,"STAT5B,IL2,ZAP70,PTPRC,SYK,TOX,HLA-E,WDFY4,IRF1,KLRC1,RAB27A,CCR7,IL15,ITK,CXADR,JAML,CCL2,CD6,DOCK8,SNCA,ITGAM,AIF1,TRPV1,IL13,C5AR1,IFNGR1,IFNGR2,CX3CL1,CLU,MAPT,AZU1,NAGLU,CX3CR1,IL33,GRN,FANCC,NCKAP1L,SOD1,BAX,HAMP,ITPKB,ATF2,FOSL2,WAS,CORO1A,HSPD1,NCK1,LAG3,PIK3CG,TNFAIP8L2,VAV1,RASGRP1,IFNE,F2RL1,PSEN1,IFNA8,CD1C,CCL3,DEFA4,GPR183,DEFA1,PTPN6,SRC,KLRK1,CD160,GATA3,KIT,LIPA,SP3,ADAM17,PRKDC,B2M,JMJD6,FCER1G,JAK3,IL20RB,GPR15LG,PRDX2,GZMM,CTSH,TAP2,EMP2,CD46,CR2,CR1,CCL20,IL12B,KITLG,SLC11A1,BTK,PDE4B,UBE2N,PLCG2,BCL10,ZNF683,HLA-DRB3,CD1D,HMGB1,CEBPB,RELB,TLR4,CCR2,IL6R,JAK1,NOTCH1,PHB1,PBX1,FCER1A,IL10"
"34","GENERAL","T CELL",109,"HLA-E,DEFA4,B2M,DEFA1,BCAR1,CXCL12,CCL20,SLC11A1,IFNA8,IL7,GATA3,IFNE,CD83,CD28,BCL2,PSMB10,CCL2,GPR183,RAG1,VAV1,IL2RG,CD1C,CCR7,IL10,CD1D,TNFSF8,CR2,TCF7,TNFSF4,IL15,WAS,PIK3R1,ZAP70,PIK3CG,HLA-DRB3,IL7R,SPN,FAS,CTLA4,CD70,SMAD3,CCL3,CD80,CD8B,CTSH,CD7,IL2,CD40LG,CLEC4G,TNFRSF4,CTSC,CD86,ITGB7,PRF1,TXK,GZMM,THEMIS,BTN3A2,MYO1G,PRKDC,CD81,TEC,F2RL1,CTPS1,PRKCQ,TAP2,CSK,CD160,BCL6,TNFAIP8L2,BTK,KLRC1,CR1,KLRK1,SYK,CD46,IRF1,JAML,ITK,ZNF683,JAK3,CD247,CD3G,THEMIS2,EOMES,SKAP1,FCER1G,VTCN1,SRC,IDO1,CRTAM,BCL10,MAP3K8,LAG3,CD6,LILRB1,BTNL8,PRDX2,S1PR1,CORO1A,MDK,BAX,PDE4B,MYH9,MSN,FUT7,LEP,RC3H1,SPNS2"
"35","INNATE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM",109,"TLR4,PRKDC,HMGB1,CD6,CX3CR1,PLCG2,BCL10,RAB27A,HLA-DRB3,CTSH,RELB,HLA-E,WDFY4,TAP2,B2M,FCER1G,SLC11A1,CD1D,CD1C,PHB1,UBE2N,NCK1,PSEN1,GRN,WAS,CCL3,CCL2,CX3CL1,CCL20,IL12B,AIF1,IL10,CCR2,CCR7,GPR183,PIK3CG,DOCK8,FCER1A,BTK,CEBPB,CLU,NOTCH1,IL20RB,FOSL2,RASGRP1,CD46,JAK3,CD160,KLRK1,GZMM,TNFAIP8L2,F2RL1,KLRC1,CR1,SYK,GATA3,IRF1,ZNF683,CORO1A,DEFA4,ITGAM,SRC,ZAP70,CR2,DEFA1,IL13,HAMP,JMJD6,IL33,AZU1,LIPA,KITLG,KIT,GPR15LG,STAT5B,SNCA,TRPV1,C5AR1,IFNGR1,IFNGR2,MAPT,NAGLU,IL6R,JAML,HSPD1,FANCC,NCKAP1L,SOD1,BAX,ITPKB,IL2,IFNA8,IFNE,SP3,PBX1,PTPRC,IL15,PTPN6,LAG3,EMP2,PDE4B,VAV1,CXADR,ADAM17,ATF2,ITK,TOX,PRDX2,JAK1"
"36","T CELL","GENERAL",109,"IL2,FAS,CD247,CD3G,ZAP70,CLEC4G,SYK,CD81,CD83,PRKCQ,CD28,FUT7,IL2RG,HLA-E,IRF1,TNFSF8,EOMES,BCL2,KLRC1,CCR7,CRTAM,MYH9,IL15,ITK,JAML,TCF7,CCL2,CD6,MSN,PRF1,TNFSF4,THEMIS,SPN,CD86,WAS,CORO1A,SMAD3,LAG3,PIK3CG,TNFAIP8L2,CD7,VAV1,CD80,CD8B,IFNE,MDK,F2RL1,IFNA8,CD1C,CXCL12,CCL3,DEFA4,GPR183,DEFA1,SRC,MAP3K8,KLRK1,CD160,CSK,CD40LG,GATA3,LEP,IL7R,PIK3R1,RAG1,PRKDC,B2M,FCER1G,SPNS2,JAK3,RC3H1,PRDX2,BAX,IL7,MYO1G,GZMM,CTSH,TAP2,CTSC,CD46,CR2,BTN3A2,CD70,CR1,S1PR1,CCL20,ITGB7,PSMB10,CTPS1,TNFRSF4,IDO1,LILRB1,SLC11A1,SKAP1,THEMIS2,BTK,PDE4B,TXK,VTCN1,CTLA4,BTNL8,BCL10,TEC,ZNF683,BCAR1,HLA-DRB3,CD1D,BCL6,IL10"
"37","ANTIVIRAL & IFN","INNATE IMMUNE SYSTEM",101,"RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12,DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,ACOD1,ADAMTS13,AIF1,IFNE,STAT2,HDAC4,IFITM1,JAK1,OAS2,TYK2,IFNAR1,IFNAR2,IFI27,TBKBP1,IFITM3,SP100,C9JQL5,IFITM2,IFNA8,IRF1,IFNGR1,HCK,IFNGR2,IFNLR1,IL10RB,IFNL1,IFNL4,IFNL3,IFNL2"
"38","INNATE IMMUNE SYSTEM","ANTIVIRAL & IFN",101,"STING1,MAVS,TLR4,GBP2,NLRP6,HLA-DPA1,RNF135,PHB1,TRIM65,UBE2N,NMB,RIGI,NMBR,IFIT1,EIF2AK2,MBL2,NCK1,IFIT2,MX1,PDE12,DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,ACOD1,ADAMTS13,AIF1,IFNL4,OAS2,IFNL2,IFITM3,IFNL3,HCK,IFI27,IRF1,TBKBP1,IFITM2,IFITM1,IFNL1,IFNGR1,IFNGR2,IFNA8,IFNE,SP100,C9JQL5,IFNLR1,STAT2,HDAC4,JAK1,TYK2,IFNAR1,IFNAR2,IL10RB"
"39","INNATE IMMUNE SYSTEM","NEUTROPHIL",85,"HMGB1,NLRP6,ELANE,CXCR2,FCER1G,ACE,GP2,MPL,LBP,CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,FCAR,CX3CL1,XCL1,CCL20,STXBP3,CCL24,CCL7,CCL23,CCR2,CXCR1,PIK3CG,LGALS3,VAMP7,BTK,CAMP,CSF1,F2RL1,CD177,S100A12,SYK,LILRA2,MCOLN2,AXL,EDN2,AZU1,SAA1,BCR,C5AR1,IL6R,CTSG,JAML,PECAM1,NCKAP1L,MERTK,IL15,EMP2,CXCL8,KMT2E,IL18RAP,CXCL6,PRKCD,DNASE1,SCNN1B,CXCL9,SRP54,ITGA1,TGFB2,EDN3,PPIB,DPEP1,CD300H,PDE4B,VAV1,CXCL3,BSG,CXCL5,PF4V1,CXADR,PPIA,CXCL1,CXCL2,ANXA3,PRTN3,MTHFD1,ADAM17,JAGN1,F2"
"40","NEUTROPHIL","INNATE IMMUNE SYSTEM",85,"CXCL8,F2RL1,IL15,KMT2E,CCL5,CXCR2,IL18RAP,FCAR,CXCL6,CTSG,PRKCD,CAMP,FCER1G,LILRA2,SYK,DNASE1,SCNN1B,CXCL9,JAML,CCL24,CCL18,SRP54,C5AR1,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,TGFB2,LBP,CCL3,EDN3,NCKAP1L,PPIB,XCL1,CXCR1,DPEP1,CD300H,PDE4B,VAV1,LGALS3,CXCL3,BSG,S100A12,CXCL5,PF4V1,EDN2,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,PPIA,CCL2,CXCL1,CXCL2,HMGB1,CCR2,MERTK,AXL,STXBP3,VAMP7,BCR,ANXA3,PECAM1,CD177,PRTN3,MTHFD1,BTK,CSF1,MPL,ADAM17,ACE,IL6R,JAGN1,EMP2,GP2,MCOLN2,AZU1,ELANE,F2,NLRP6"
"41","CELLULAR ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM",83,"ABL1,STAT5B,ZAP70,CLEC4G,PTPRC,SYK,CD81,CD83,CD28,IL2RG,HLA-E,BCL2,LIG4,RAG2,ITK,CCL2,AZU1,NCKAP1L,BAX,HAMP,FOSL2,CD86,CHRNA7,HSPD1,VAV1,RASGRP1,IFNE,IFNA8,CXCL12,DEFA4,GPR183,DEFA1,PTPN6,SRC,LGALS1,CD40LG,GATA3,KIT,PTPN2,LIPA,LFNG,IL7R,PIK3R1,SP3,RAG1,ADAM17,PRKDC,WNT4,B2M,FCER1G,SPNS2,JAK3,RC3H1,CASP3,IL7,MYO1G,CR2,CD70,CCL20,PSMB10,CTPS1,SLC11A1,BTK,PLCG2,MAPK1,CTLA4,BCL10,TEC,BCAR1,PTPRJ,IL4R,STAT6,TLR4,BCL3,CCR2,NOTCH1,PHB1,BCL6,KMT2A,CACNB4,PBX1,FCER1A,IL10"
"42","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM",83,"HLA-E,DEFA4,B2M,DEFA1,CXCL12,CCL20,HAMP,BCL3,SLC11A1,AZU1,PHB1,CHRNA7,RASGRP1,HSPD1,BTK,ZAP70,CD86,GPR183,PLCG2,PTPRC,IFNA8,PIK3R1,RAG1,RAG2,IL2RG,PTPRJ,STAT5B,PTPN2,SYK,JAK3,CR2,BCL6,KIT,SP3,CD40LG,IL10,BCL2,FOSL2,IFNE,ADAM17,SPNS2,BAX,IL7R,RC3H1,NCKAP1L,CASP3,PRKDC,CD70,TLR4,ABL1,IL7,CTPS1,BCAR1,CTLA4,ITK,MAPK1,PTPN6,TEC,SRC,VAV1,MYO1G,CCR2,GATA3,CD83,CD28,PSMB10,CCL2,NOTCH1,CD81,WNT4,CLEC4G,IL4R,BCL10,FCER1G,LIG4,STAT6,LFNG,LGALS1,LIPA,PBX1,CACNB4,KMT2A,FCER1A"
"43","INNATE IMMUNE SYSTEM","T CELL",80,"PRKDC,CD6,PLCG2,BCL10,RAB27A,HLA-DRB3,CTSH,HLA-E,WDFY4,TAP2,B2M,FCER1G,SLC11A1,CD1D,CD1C,UBE2N,NCK1,PSEN1,WAS,CCL3,CCL2,CCL20,IL12B,IL10,CCR7,GPR183,PIK3CG,DOCK8,FCER1A,BTK,IL20RB,FOSL2,RASGRP1,CD46,JAK3,CD160,KLRK1,GZMM,TNFAIP8L2,F2RL1,KLRC1,CR1,SYK,GATA3,IRF1,ZNF683,CORO1A,DEFA4,SRC,ZAP70,CR2,DEFA1,JMJD6,IL33,LIPA,KITLG,KIT,GPR15LG,STAT5B,JAML,HSPD1,NCKAP1L,BAX,ITPKB,IL2,IFNA8,IFNE,SP3,PTPRC,IL15,PTPN6,LAG3,EMP2,PDE4B,VAV1,CXADR,ADAM17,ITK,TOX,PRDX2"
"44","T CELL","INNATE IMMUNE SYSTEM",80,"STAT5B,IL2,ZAP70,PTPRC,SYK,TOX,HLA-E,WDFY4,IRF1,KLRC1,RAB27A,CCR7,IL15,ITK,CXADR,JAML,CCL2,CD6,DOCK8,ITPKB,WAS,CORO1A,HSPD1,NCK1,LAG3,PIK3CG,TNFAIP8L2,VAV1,RASGRP1,IFNE,F2RL1,PSEN1,IFNA8,CD1C,CCL3,DEFA4,GPR183,DEFA1,PTPN6,SRC,KLRK1,CD160,GATA3,KIT,FOSL2,LIPA,SP3,ADAM17,PRKDC,B2M,JMJD6,FCER1G,JAK3,NCKAP1L,IL20RB,GPR15LG,PRDX2,BAX,GZMM,CTSH,TAP2,EMP2,CD46,CR2,CR1,CCL20,IL12B,KITLG,SLC11A1,BTK,PDE4B,UBE2N,PLCG2,BCL10,ZNF683,HLA-DRB3,CD1D,FCER1A,IL10,IL33"
"45","ARPP","GENERAL",77,"MBL2,LBP,CD14,MAVS,RIGI,CGAS,STING1,CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5,ALOX5,ITGB8,ITGB6,IL13,HAMP,FCGR3A,SLC11A1,TLR4,TICAM1,IFI35,PRKCE,SYK,SFTPD,CCL2,LGALS3,AZU1,CCL3,CSF1,MCOLN2,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL18,CCL1,CCL7,CTSG,XCL1,CCL23,CCL4,CCL4L1,CCL24,CCL20,RPS19,CCL8,S100A12,JAML,PECAM1,REG3G,TIRAP,BTK,HLA-DRB3,NOTCH2,LTBR,RBPJ,LACC1,IRGM,LAG3,IRF8,HCK,RNF135,KLRC1,CLEC6A,KLRC2,SRC,KLRK1,BCL10,CTSS,TICAM2,CD40"
"46","GENERAL","ARPP",77,"CTSG,FCGR3A,CCL20,HAMP,S100A12,RPS19,REG3G,LGALS3,CCL1,XCL1,CCL8,CCL18,SLC11A1,AZU1,PECAM1,LTBR,IL6R,CCR2,NOTCH2,ALOX5,CCL2,GPR183,RBPJ,ITGB8,CCR7,CCR1,CCL4L1,CCL24,CCL4,CCL23,CTSS,IL13,CXCR1,PIK3CG,HLA-DRB3,CCL7,CCL3L1,CCL5,CXCR4,TLR4,CCL3,IRF8,CXCR2,CX3CL1,ITGB6,P0DOX3,CLEC6A,RNF135,CD40,PRKCE,SFTPD,RIGI,MBL2,KLRC2,HMGB1,CSF1,CD14,BTK,KLRC1,KLRK1,MAVS,TIRAP,LBP,STING1,IRGM,SYK,JAML,LACC1,TICAM2,HCK,MCOLN2,SRC,CGAS,BCL10,TICAM1,LAG3,IFI35"
"47","HUMORAL ADAPTIVE IMMUNE SYSTEM","T CELL",71,"HLA-E,DEFA4,B2M,DEFA1,CXCL12,CCL20,SLC11A1,CHRNA7,RASGRP1,HSPD1,BTK,ZAP70,CD86,GPR183,PLCG2,PTPRC,IFNA8,PIK3R1,RAG1,RAG2,IL2RG,PTPRJ,STAT5B,PTPN2,SYK,JAK3,CR2,BCL6,KIT,SP3,CD40LG,IL10,BCL2,FOSL2,IFNE,ADAM17,SPNS2,BAX,IL7R,RC3H1,NCKAP1L,CASP3,PRKDC,CD70,ABL1,IL7,CTPS1,BCAR1,CTLA4,ITK,MAPK1,PTPN6,TEC,SRC,VAV1,MYO1G,GATA3,CD83,CD28,PSMB10,CCL2,CD81,WNT4,CLEC4G,BCL10,FCER1G,LIG4,LFNG,LGALS1,LIPA,FCER1A"
"48","T CELL","HUMORAL ADAPTIVE IMMUNE SYSTEM",71,"ABL1,STAT5B,ZAP70,CLEC4G,PTPRC,SYK,CD81,CD83,CD28,IL2RG,HLA-E,BCL2,LIG4,RAG2,ITK,CCL2,CD86,CHRNA7,HSPD1,VAV1,RASGRP1,IFNE,IFNA8,CXCL12,DEFA4,GPR183,DEFA1,PTPN6,SRC,LGALS1,CD40LG,GATA3,KIT,FOSL2,PTPN2,LIPA,LFNG,IL7R,PIK3R1,SP3,RAG1,ADAM17,PRKDC,WNT4,B2M,FCER1G,SPNS2,JAK3,NCKAP1L,RC3H1,CASP3,BAX,IL7,MYO1G,CR2,CD70,CCL20,PSMB10,CTPS1,SLC11A1,BTK,PLCG2,MAPK1,CTLA4,BCL10,TEC,BCAR1,PTPRJ,BCL6,FCER1A,IL10"
"49","B CELL","GENERAL",67,"TICAM1,CXCR5,CD79A,CD40,MS4A1,LAX1,BTK,ZAP70,CD86,BST2,GPR183,IFNA8,PIK3R1,RAG1,IL2RG,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,ITGA4,CD40LG,IL10,BCL2,RBPJ,IFNE,FLT3,VCAM1,IL9,SPNS2,BAX,MEF2C,IL7R,RC3H1,SOS1,PRKDC,CD70,CD19,TLR4,IL7,CTPS1,BCAR1,CTLA4,ITK,TEC,SRC,VAV1,PRKCE,MYO1G,HCK,FGR,FCGR2B,IRF8,BCL3,CD81,CLEC4G,IL4R,BCL10,FCER1G,NOTCH2,C17orf99,LBP,C4B,MBL2,HLA-G,GATA3"
